"Now Shopping by","Huidige filters"
"You haven't selected any items!","Er zijn geen producten geselecteerd!"
"Search by keyword","Zoeken op trefwoord"
Keyword,Trefwoord
"Select Date","Datum selecteren"
"Please enter more or equal than {0} symbols.","Voer {0} of meerdere symbolen in."
"Please enter less or equal than {0} symbols.","Voer {0} of minder symbolen in."
"Please enter {0} words or less.","Voer {0} woorden in of minder."
"Please enter at least {0} words.","Voer ten minste {0} woorden in."
"Please enter between {0} and {1} words.","Voer tussen {0} en {1} woorden in."
"Letters or punctuation only please","Enkel letters en leestekens toegelaten"
"Letters, numbers, spaces or underscores only please","Enkel letters, cijfers, spaties of liggende streepjes toegelaten"
"Letters only please","Enkel letters toegelaten"
"No white space please","Geen spaties toegelaten"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Uw postcode moet in de volgende reeks liggen: 902xx-xxxx tot 905-xx-xxxx"
"A positive or negative non-decimal number please","Enkel een positief of negatief niet-decimaal nummer toegelaten"
"The specified vehicle identification number (VIN) is invalid.","Het opgegeven voertuigidentificatienummer (VIN) is ongeldig."
"Please enter a correct date","Voer een correcte datum in"
"Please enter a valid time, between 00:00 and 23:59","Voer een geldige tijd in, tussen 00:00 en 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Voer een geldige tijd in, tussen 00:00 en 12:00 pm"
"Please specify a valid phone number","Geef een geldig telefoonnummer op"
"Please specify a valid mobile number","Geef een geldig 06-nummer op"
"Please enter at least {0} characters","Vul minstens {0} tekens in"
"Please enter a valid credit card number.","Geef a. u. b. een geldig creditcard-nummer op."
"Please enter a valid IP v4 address.","Voer een geldig IP v4 adres in."
"Please enter a valid IP v6 address.","Voer een geldig IP v6 adres in."
"Invalid format.","Ongeldig formaat."
"HTML tags are not allowed.","HTML-codes zijn niet toegestaan."
"Please select an option.","Selecteer a. u. b. een optie."
"Empty Value.","Lege waarde."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Gebruik alleen letters (a-z of A-Z), cijfers (0-9) of spaties in dit veld."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Gebruik uitsluitend letters (a-z en A-Z), cijfers (0-9) of underscores (_) in dit veld, het eerste teken moet een een letter zijn."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Gebruik alleen letters (a-z of A-Z), cijfers (0-9) of spaties in dit veld."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef a.u.b. een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Voer een geldig faxnummer in (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Voer een geldig e-mailadres in (Bijv.: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Voer zes of meer tekens in. Spaties aan begin en eind zullen worden genegeerd."
"Please enter 7 or more characters, using both numeric and alphabetic.","Voer 7 of meer tekens in, zowel numerieke en alfabetische."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimumlengte van dit veld moet gelijk of groter zijn dan %1 symbolen. Spaties in het begin en op het einde worden genegeerd."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum van verschillende klassen van tekens in wachtwoord is %1. Soorten tekens: kleine letters, hoofdletters, cijfers en speciale tekens."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Geef een geldige URL op. Protocol is vereist (http://, https:// or ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Voer een geldige URL in. Bijvoorbeeld http://www.voorbeeld.com of www.voorbeeld.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Selecteer een geldige XML-identifier (Ex: voorbeeld_1, blok5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Geef een geldig sofi-nummer (Ex: 123-45-6789)."
